Project ID,Project Name,Project Status,Construction Status,Plannning Approval Address,Zip Code,Block,Lot,Supervisor District,City Analysis Neighborhood,Planning Neighborhood,Lead Agency,General Housing Program,Specific Program Area,Multiphase or Multisite Project Name,Redevelopment Project Area,Project Type,Housing Tenure,SSP Acquisition Date,Issuance of Notice to Proceed Date,Issuance of Building Permit Date,Issuance of First Construction Document Date,Estimated/Actual Construction Start Date,Estimated Construction Completion Date,Project Lead Sponsor,Project Co-Sponsor,Project Owner,Planning  Case Number,Planning Entitlements,Entitlement Approval Date,Section 415 Declaration,Total Project Units,MOHCD Affordable Units,% Affordable,SRO Units,Studio Units,1bd Units,2bd Units,3bd Units,4bd Units,5+ bd Units,Mobility Units,Family Units,Senior Units,TAY Units,Homeless Units,Disabled Units,LOSP Units,Public Housing Replacement Units,20% AMI,30% AMI,40% AMi,50% AMI,55% AMI,60% AMI,80% AMI,90% AMI,100% AMI,105% AMI,110% AMI,120% AMI,130% AMI,150% AMI,AMI Undeclared,Latitude,Longitude,Location
2016-081,"Block 48, Phase 1 (Blocks A, B, F, G, J)",Construction,(5) First Construction Document Issued,898 La Salle Ave,94124,,,10,Bayview Hunters Point,Bayview,OCII,Other Ownership Programs,Limited Equity Program,,HP Shipyard Phase 1,New Construction,Ownership,,07/01/2025,09/12/2017,09/12/2017,07/01/2025,03/01/2029,,,,Not Applicable,,03/03/2015,,174,25,14,0,0,9,15,1,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,3,0,0,0,37.72900117,-122.3779277,"(37.72900117, -122.3779277)"
2024-001,2970 16th Street Permanent Supportive Housing,Pre-Construction,(2) Predevelopment Feasibility,2970 16th St,94103,,,9,Mission,Mission,MOHCD,MOHCD 100% Affordable,Multifamily Rental Program,1979 Mission Family/PSH,Not in an OCII Project Area,New Construction,Rental,,12/12/2025,,,12/12/2025,,Mission Housing Development Corporation,Mission Economic Development Agency,,,,,,136,136,100,0,89,47,0,0,0,0,0,0,0,0,136,0,0,0,0,68,0,68,0,0,0,0,0,0,0,0,0,0,0,37.7652718,-122.4188518,"(37.7652718, -122.4188518)"
2016-054,469 Eddy,Construction,(4) Site Work Permit Issued,469 Eddy St,94102,337,014A,5,Tenderloin,Downtown/Civic Center,MOHCD,Inclusionary Housing,Inclusionary Housing Program,,Not in an OCII Project Area,New Construction,Ownership,,,11/30/2018,,05/31/2019,,"469 Eddy Street, LLC",,,2014.0562,,06/16/2016,On-site BMR Project,28,3,11,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,37.78330387,-122.4152265,"(37.78330387, -122.4152265)"
2023-008,250 Laguna Honda,Pre-Construction,(2) Predevelopment Feasibility,250 Laguna Honda Blvd,94116,2819,51,7,West of Twin Peaks,West of Twin Peaks,MOHCD,MOHCD 100% Affordable,Multifamily Rental Program,,Not in an OCII Project Area,New Construction,Rental,04/11/2024,,,,,07/01/2028,Mission Housing Development Corporation,,Mission Housing Development Corporation,,,,,172,171,99,0,0,35,99,37,0,0,8,170,0,0,43,0,43,0,0,35,0,136,0,0,0,0,0,0,0,0,0,0,0,37.74986305,-122.4609559,"(37.74986305, -122.4609559)"
2021-007,4712-4720 3rd St,Construction,(4) Site Work Permit Issued,4712-4720 3rd St,94123,5311,35,10,Bayview Hunters Point,Bayview,MOHCD,Inclusionary Housing,Inclusionary Housing Program,,Not in an OCII Project Area,New Construction,Rental,,,08/01/2019,,,,CTW Home Improvement Inc,,,2020-003042PRJ,,,On-site BMR Project,21,4,19,0,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,1,0,0,0,0,37.7354428,-122.3907294,"(37.7354428, -122.3907294)"
2016-013,1567 California,Construction,(4) Site Work Permit Issued,1567 California St,94109,645,15,3,Nob Hill,Nob Hill,MOHCD,Inclusionary Housing,Inclusionary Housing Program,,Not in an OCII Project Area,New Construction,Rental,,,12/14/2021,,02/23/2018,,"1567 California, LLC",,,2018-011249PRJ,"2018-011249PRJ, 2018-011249CUA, 2018-011249CUA-02",02/25/2016,On-site BMR Project; Fee Payment,100,9,9,0,2,3,3,1,0,0,0,8,0,0,0,0,0,0,0,0,0,5,0,0,2,0,0,0,2,0,0,0,0,37.79051488,-122.4200321,"(37.79051488, -122.4200321)"
2015-033e,Sunnydale Block 9,Construction,(4) Site Work Permit Issued,1652 Sunnydale Ave,94134,6310,1,10,Visitacion Valley,Visitacion Valley,MOHCD,MOHCD 100% Affordable,HOPE SF,Sunnydale HOPE SF,Not in an OCII Project Area,New Construction,Rental,,05/22/2025,08/12/2024,,05/22/2025,,Related California,Mercy Housing CA,,2010.0305PHA-06,,03/03/2017,,95,94,99,0,0,10,51,21,12,0,15,94,0,0,0,0,0,0,0,29,0,49,0,12,0,0,0,0,0,0,0,0,4,37.71255955,-122.4178318,"(37.71255955, -122.4178318)"
2023-010,1234 Great Highway,Pre-Construction,(2) Predevelopment Feasibility,1234 Great Highway,94122,1701,6,4,Sunset/Parkside,Outer Sunset,MOHCD,MOHCD 100% Affordable,Multifamily Rental Program,,Not in an OCII Project Area,New Construction,Rental,,11/01/2026,,,11/01/2026,,Tenderloin Neighborhood Development Corporation (TNDC),Self Help For The Elderly,,,,,,199,197,99,0,88,105,4,0,0,0,0,0,197,0,99,0,0,0,20,0,0,177,0,0,0,0,0,0,0,0,0,0,0,37.76309,-122.5093903,"(37.76309, -122.5093903)"
2021-004,321 Florida,Pre-Construction,(3) Design with Entitlements Approved,321 Florida St,94110,3965,22,9,Mission,Mission,MOHCD,Inclusionary Housing,Inclusionary Housing Program,,Not in an OCII Project Area,New Construction,Rental,,,,,02/24/2023,,DM Development,,,2018-016808PRJ,,02/25/2021,On-site BMR Project; Fee Payment,168,23,14,0,9,5,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,4,0,0,0,5,0,0,0,0,37.76491009,-122.4109658,"(37.76491009, -122.4109658)"
2021-026,560 Brannan,Pre-Construction,(3) Design with Entitlements Approved,560 Brannan St,94107,3777,44,6,South of Market,South of Market,MOHCD,Inclusionary Housing,Inclusionary Housing Program,,Not in an OCII Project Area,New Construction,Rental,,,,,11/17/2023,,"560 Brannan Street, LLC",,"560 Brannan Street, LLC",2019-013276PRJ,"2019-013276PRJ, 2019-013276ENV, 2019-013276ENX,",11/18/2021,On-site BMR Project; Fee Payment,120,18,15,0,10,1,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,4,0,0,0,4,0,0,0,0,37.77747873,-122.3980728,"(37.77747873, -122.3980728)"
2006-021d,Hunters View Phase III,Construction,(5) First Construction Document Issued,201 West Point Rd,94124,4624,32,10,Bayview Hunters Point,Bayview,MOHCD,MOHCD 100% Affordable,HOPE SF,Hunters View HOPE SF,Not in an OCII Project Area,New Construction,Rental,,05/31/2023,06/05/2023,06/05/2023,05/31/2023,07/31/2025,The John Stewart Company,Devine & Gong/Ridgepoint,"HV Partners 3, LP",2009.1075,2009.1075F,06/12/2008,,118,117,99,0,0,52,10,16,34,5,19,117,0,0,0,0,0,54,0,0,16,0,64,37,0,0,0,0,0,0,0,0,0,37.73504944,-122.3791257,"(37.73504944, -122.3791257)"
2006-027,125 Mason,Building Rehabilitation (Pre-Construction),(2) Predevelopment Feasibility,125 Mason St,94102,,,5,Tenderloin,Downtown/Civic Center,MOHCD,Inclusionary Housing,Bond Financed Inclusionary Housing,,Not in an OCII Project Area,Rehabilitation,Rental,,02/15/2027,04/18/2007,06/01/2007,02/15/2027,06/15/2028,Tenderloin Neighborhood Development Corporation (TNDC),,,,,,Units for Off-site Project,80,80,100,0,0,22,33,20,5,0,8,80,0,0,0,0,0,0,0,0,0,0,0,28,45,0,0,0,0,0,0,0,7,37.78476749,-122.4094878,"(37.78476749, -122.4094878)"
2019-034,2050 Van Ness / 1675 Pacific,Pre-Construction,(3) Design with Entitlements Approved,2050 Van Ness Ave,94109,595,8,3,Russian Hill,Nob Hill,MOHCD,Inclusionary Housing,Inclusionary Housing Program,,Not in an OCII Project Area,New Construction,Rental,,,,,07/23/2021,,Ian Birchall,,,2014.1573,,07/25/2019,On-site BMR Project,63,11,17,0,0,8,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,2,0,0,0,3,0,0,0,0,37.79463219,-122.4226845,"(37.79463219, -122.4226845)"
