zip_code,project_status,planning_neighborhood,lead_agency,general_housing_program,specific_program_area,project_type,housing_tenure,project_lead_sponsor,total_project_units,mohcd_affordable_units,%_affordable,sro_units,studio_units,1bd_units,2bd_units,3bd_units,4bd_units,5+_bd_units,mobility_units,family_units,senior_units,tay_units,homeless_units,disabled_units,losp_units,public_housing_replacement_units,20%_ami,30%_ami,40%_ami,50%_ami,55%_ami,60%_ami,80%_ami,90%_ami,100%_ami,105%_ami,110%_ami,120%_ami,130%_ami,150%_ami,ami_undeclared
94102,Building Rehabilitation (Pre-Construction),Downtown/Civic Center,MOHCD,Inclusionary Housing,Bond Financed Inclusionary Housing,Rehabilitation,Rental,Tenderloin Neighborhood Development Corporation (TNDC),80,80,100,0,0,22,33,20,5,0,8,80,0,0,0,0,0,0,0,0,0,0,0,28,45,0,0,0,0,0,0,0,7
94102,Building Rehabilitation (Pre-Construction),Downtown/Civic Center,MOHCD,MOHCD 100% Affordable,Multifamily Rental Program,Rehabilitation,Rental,Chinatown Community Development Center,91,91,100,89,0,2,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,91,0,0,0,0,0,0,0,0,0,0,0
94102,Building Rehabilitation (Pre-Construction),Downtown/Civic Center,MOHCD,MOHCD Preservation,Big Sites Program,Rehabilitation,Rental,Swords to Plowshares,62,62,100,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62,0,0,0,0,0,0,0,0
94102,Building Rehabilitation (Pre-Construction),Downtown/Civic Center,MOHCD/HSH,MOHCD 100% Affordable,HSH Homekey,Rehabilitation,Rental,Five Keys School and Programs,106,106,100,106,0,0,0,0,0,0,0,0,0,0,106,0,106,0,0,53,0,0,0,53,0,0,0,0,0,0,0,0,0
94102,Construction,Downtown/Civic Center,MOHCD,Inclusionary Housing,Inclusionary Housing Program,New Construction,Ownership,"469 Eddy Street, LLC",28,3,11,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0
94102,Construction,Downtown/Civic Center,MOHCD,Inclusionary Housing,Inclusionary Housing Program,New Construction,Ownership,Eddie Tsang,37,4,11,0,0,2,2,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0
94102,Construction,Downtown/Civic Center,MOHCD,Inclusionary Housing,Inclusionary Housing Program,New Construction,Ownership,Geary Place LLC,52,6,12,0,1,3,2,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0
94102,Construction,Downtown/Civic Center,MOHCD,Inclusionary Housing,Inclusionary Housing Program,New Construction,Ownership,Lendlease,333,83,25,0,7,24,40,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0,17,0,0,33,0,0
94102,Construction,Downtown/Civic Center,MOHCD,Inclusionary Housing,Inclusionary Housing Program,New Construction,Rental,450 O'Farrell Partners LLC,176,23,13,0,5,9,9,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0
94102,Construction,Downtown/Civic Center,MOHCD,Inclusionary Housing,Inclusionary Housing Program,New Construction,Rental,Elevation Architects,69,10,14,0,0,9,1,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0
